cpu
Start!
Episode: 920000,  Step: 8760265, Episode_step: 24,  Reward_p1: -1.02, Reward_p2: -0.01, Reward_p3: -0.02, Reward_e: -0.02
Episode: 930000,  Step: 8855561, Episode_step: 11,  Reward_p1: -0.01, Reward_p2: -0.01, Reward_p3: -0.01, Reward_e: -1.01
Episode: 940000,  Step: 8950557, Episode_step: 9,  Reward_p1: -0.01, Reward_p2: -0.01, Reward_p3: -0.01, Reward_e: -1.01
Episode: 950000,  Step: 9047440, Episode_step: 2,  Reward_p1: 1, Reward_p2: 1, Reward_p3: 1, Reward_e: -1
Episode: 960000,  Step: 9142249, Episode_step: 16,  Reward_p1: 0.99, Reward_p2: 0.99, Reward_p3: 0.99, Reward_e: -1.01
Episode: 970000,  Step: 9237552, Episode_step: 5,  Reward_p1: 1.0, Reward_p2: 1, Reward_p3: 1.0, Reward_e: -1.0
Episode: 980000,  Step: 9333432, Episode_step: 14,  Reward_p1: 0.99, Reward_p2: 0.99, Reward_p3: 0.99, Reward_e: -1.01
Episode: 990000,  Step: 9428783, Episode_step: 8,  Reward_p1: 0.99, Reward_p2: 1.0, Reward_p3: 0.99, Reward_e: -1.01
Episode: 1000000,  Step: 9523598, Episode_step: 14,  Reward_p1: 0.99, Reward_p2: 0.99, Reward_p3: 0.99, Reward_e: -1.01
Finish! 38.65 [h]
