cpu
Start!
Episode: 740000,  Step: 6901349, Episode_step: 3,  Reward_p1: -0.0, Reward_p2: -0.0, Reward_p3: 1.0, Reward_e: -1.0
Episode: 750000,  Step: 6993080, Episode_step: 15,  Reward_p1: -0.01, Reward_p2: 0.99, Reward_p3: -0.01, Reward_e: -1.01
Episode: 760000,  Step: 7083472, Episode_step: 2,  Reward_p1: -0.0, Reward_p2: -0.0, Reward_p3: 1, Reward_e: -1
Episode: 770000,  Step: 7175308, Episode_step: 3,  Reward_p1: -0.0, Reward_p2: -0.0, Reward_p3: 1.0, Reward_e: -1.0
Episode: 780000,  Step: 7266888, Episode_step: 12,  Reward_p1: 0.99, Reward_p2: -0.01, Reward_p3: -0.01, Reward_e: -1.01
Episode: 790000,  Step: 7357732, Episode_step: 11,  Reward_p1: 0.99, Reward_p2: -0.01, Reward_p3: -0.01, Reward_e: -1.01
Episode: 800000,  Step: 7448918, Episode_step: 5,  Reward_p1: -0.0, Reward_p2: -0.0, Reward_p3: 1.0, Reward_e: -1.0
Episode: 810000,  Step: 7540713, Episode_step: 3,  Reward_p1: -0.0, Reward_p2: -0.0, Reward_p3: 1.0, Reward_e: -1.0
Episode: 820000,  Step: 7631879, Episode_step: 14,  Reward_p1: -0.01, Reward_p2: -0.01, Reward_p3: 0.99, Reward_e: -1.01
Episode: 830000,  Step: 7721503, Episode_step: 12,  Reward_p1: 0.99, Reward_p2: 0, Reward_p3: -0.01, Reward_e: -1.01
Episode: 840000,  Step: 7813258, Episode_step: 16,  Reward_p1: 0.99, Reward_p2: -0.01, Reward_p3: -0.02, Reward_e: -1.01
Episode: 850000,  Step: 7904405, Episode_step: 3,  Reward_p1: -0.0, Reward_p2: 1.0, Reward_p3: -0.0, Reward_e: -1.0
Episode: 860000,  Step: 7995228, Episode_step: 2,  Reward_p1: -0.0, Reward_p2: 1, Reward_p3: -0.0, Reward_e: -1
Episode: 870000,  Step: 8087141, Episode_step: 18,  Reward_p1: 0.98, Reward_p2: -0.02, Reward_p3: -0.02, Reward_e: -1.02
Episode: 880000,  Step: 8178083, Episode_step: 5,  Reward_p1: 1.0, Reward_p2: -0.0, Reward_p3: 1.0, Reward_e: -1.0
Episode: 890000,  Step: 8269518, Episode_step: 12,  Reward_p1: -0.01, Reward_p2: 0.99, Reward_p3: -0.0, Reward_e: -1.01
Episode: 900000,  Step: 8360227, Episode_step: 11,  Reward_p1: 0.99, Reward_p2: -0.01, Reward_p3: -0.01, Reward_e: -1.01
Episode: 910000,  Step: 8450554, Episode_step: 15,  Reward_p1: 0.99, Reward_p2: -0.01, Reward_p3: -0.01, Reward_e: -1.01
Episode: 920000,  Step: 8540589, Episode_step: 2,  Reward_p1: -0.0, Reward_p2: -0.0, Reward_p3: 1, Reward_e: -1
Episode: 930000,  Step: 8630870, Episode_step: 10,  Reward_p1: -0.01, Reward_p2: -0.01, Reward_p3: 0.99, Reward_e: -1.01
Episode: 940000,  Step: 8722136, Episode_step: 13,  Reward_p1: -0.01, Reward_p2: 0.99, Reward_p3: 0.99, Reward_e: -1.01
Episode: 950000,  Step: 8811975, Episode_step: 12,  Reward_p1: -0.01, Reward_p2: 0.99, Reward_p3: -0.01, Reward_e: -1.01
Episode: 960000,  Step: 8902698, Episode_step: 9,  Reward_p1: 0.99, Reward_p2: -0.01, Reward_p3: -0.01, Reward_e: -1.01
Episode: 970000,  Step: 8993927, Episode_step: 15,  Reward_p1: 0.99, Reward_p2: -0.01, Reward_p3: -0.01, Reward_e: -1.01
Episode: 980000,  Step: 9084785, Episode_step: 5,  Reward_p1: 1.0, Reward_p2: -0.0, Reward_p3: -0.0, Reward_e: -1.0
Episode: 990000,  Step: 9175427, Episode_step: 12,  Reward_p1: -0.01, Reward_p2: -0.01, Reward_p3: 0.99, Reward_e: -1.01
Episode: 1000000,  Step: 9266412, Episode_step: 13,  Reward_p1: -0.01, Reward_p2: 0.99, Reward_p3: -0.01, Reward_e: -1.01
Finish! 36.64 [h]
